parcel,date,N(kg/ha)
A,20010115,206.7003129
A,20010806,17.55
B,20010116,82.68012514
B,20010330,69.35841
B,20010511,81.7355
A,20020305,70.059
A,20020308,32.6942
A,20020412,70.059
A,20020620,15.42857143
A,20020820,93.412
A,20021004,74.7296
A,20021121,100.4179
B,20020308,53.61145699
B,20020620,14.51612903
B,20020725,33.39730108
B,20021004,75.14392742
A,20030312,75.44815385
A,20030805,77.96309231
A,20031106,125.7469231
B,20030312,65.3884
B,20030509,58.74739063
B,20030807,76.62703125
B,20031124,58.74739063
A,20040216,146.1517364
A,20041013,70.09438333
A,20041108,54.73801667
B,20040220,89.84977006
B,20040518,78.30946108
B,20040706,66.56304192
B,20040804,69.98908084
B,20041013,69.98908084
B,20041108,54.81662275
A,20050510,49.53666667
A,20050602,62.91156667
A,20050803,20.92924167
A,20051205,63.15925
B,20050504,68.52077844
B,20050602,63.13700299
B,20050803,21.04566766
B,20051205,63.13700299
A,20060324,41.33481
A,20060505,58.3825
A,20060613,44.3707
A,20060706,64.22075
A,20060802,70.059
A,20061019,46.706
A,20061211,70.059
B,20060324,41.36697281
B,20060505,36.70755988
B,20060613,34.74982335
B,20060706,39.15473054
B,20060802,44.04907186
B,20061019,53.83775449
B,20061211,58.73209581
A,20070306,75.47742254
A,20070531,52.11278873
A,20070706,72.24591549
A,20070803,38.025
A,20071011,52.46422535
A,20071220,105.4963099
B,20070531,45.00361656
B,20070706,71.78631902
B,20070803,57.98046012
B,20071011,19.32404908
B,20071220,79.51214724
A,20080319,58.10119718
A,20080517,62.67517606
A,20080626,22.81701408
A,20080729,34.22661972
A,20080902,49.43661972
A,20081006,39.93194366
A,20081111,107.7516761
B,20080319,74.85736196
B,20080516,33.29079755
B,20080626,36.42484663
B,20080729,35.12312883
B,20080902,30.32423313
A,20090226,45.06866197
A,20090527,56.0555493
A,20090708,45.06971831
A,20090812,20.05557183
A,20090904,43.77523944
A,20091026,82.39867606
B,20090226,53.37193252
B,20090527,80.67386503
B,20090708,31.41001227
B,20090812,23.55857669
A,20100318,37.77960563
A,20100527,121.1507155
A,20100706,26.36746479
A,20100825,24.44322254
A,20101028,43.35018592
B,20100318,37.28292945
B,20100527,28.95759509
B,20100706,43.03017883
B,20100825,25.95889448
B,20101028,59.11757669
A,20110310,9.013080342
A,20110428,9.596558701
A,20110622,12.23567078
A,20110718,20.53179514
A,20110829,15.8655
A,20111013,14.15898173
B,20110310,27.17616642
B,20110428,29.66632867
B,20110622,33.78138452
B,20110718,51.24786127
B,20110829,58.50348118
B,20111013,57.94746332
A,20120116,109.3214988
A,20120425,27
A,20120626,18.4313892
A,20120713,31.72910832
A,20120816,43.92271941
A,20120905,40.1828121
B,20120116,109.3687832
B,20120425,12.15
B,20120626,36.5682944
B,20120713,36.9326848
B,20120816,42.07654618
B,20120905,55.84828872
A,20130307,82.886405
A,20130611,20.808
A,20130719,60.046272
A,20130827,49.445676
B,20130307,85.67013289
B,20130611,25.15999929
B,20130719,78.6017625
B,20130827,50.5400927
A,20140312,66.58909091
A,20140422,18.40909091
A,20140605,18.40909091
A,20140909,17.99127273
B,20140312,70.53925926
B,20140526,53.83
B,20140625,31.09451852
B,20140909,27.776
A,20150311,39.0102
A,20150429,45.56618182
A,20150609,35.93027273
A,20150709,68.85981818
A,20150825,62.32909091
A,20151008,44.52727273
A,20160323,25.02162963
A,20160601,32.82618182
A,20160716,48.93381818
A,20160817,40.8
A,20160930,33.14727273
A,20170329,67.48418182
A,20170630,45.68581818
A,20170810,40.6875
A,20180409,91.264
A,20180514,80.92
A,20180625,49.284
A,20180927,78.96
A,20181114,69.09
A,20190226,62
A,20190523,34.416882
A,20190710,49.732956
A,20190813,61.82826
A,20200319,55.00512
A,20200430,84.917232
A,20200604,31.724
A,20200713,39.4944
A,20210223,116.232
A,20210507,50.357862
A,20210618,52.78
A,20210730,17.5
B,20210223,77.488
B,20210507,50.357862
B,20210618,52.78
B,20210729,17.5
A,20220314,82.6137
A,20220523,56.79186
A,20220627,78.48
A,20220720,43.15626
A,20220825,55.937672
A,20221005,79.02183
B,20220314,82.6137
B,20220523,56.79186
B,20220627,78.48
B,20220720,43.15626
B,20220825,55.937672
B,20221005,79.02183
A,20230321,60.192342
A,20230525,63.65184
A,20230619,53.2059
A,20230824,59.306856
A,20230929,54.625828
B,20230321,60.192342
B,20230525,63.65184
B,20230619,53.2059
B,20230824,59.306856
B,20230929,54.625828
A,20240228,61.1104
A,20240502,51.9323387
A,20240627,66.70064
A,20240807,59.41452
A,20240827,74.634175
B,20240228,61.1104
B,20240502,51.9323387
B,20240627,66.70064
B,20240807,59.41452
B,20240827,74.634175
