dataset,struct_family,lag_window,decay,r2,r,n_pred
Chamau Daily,lags_only,1d,none,0.271245280014463,0.5522373229010971,36
Chamau Daily,lags_only,1d,HL3,0.2712452800144629,0.552237322901097,36
Chamau Daily,lags_only,1d,HL7,0.2712452800144629,0.5522373229010971,36
Chamau Daily,lags_only,1d,HL14,0.2712452800144629,0.5522373229010968,36
Chamau Daily,lags_only,1d,all,0.271245280014463,0.5522373229010968,36
Chamau Daily,lags_only,3d,none,0.2902174973492835,0.5743899379410098,36
Chamau Daily,lags_only,3d,HL3,0.2902174973492835,0.5743899379410096,36
Chamau Daily,lags_only,3d,HL7,0.2902174973492835,0.5743899379410097,36
Chamau Daily,lags_only,3d,HL14,0.2902174973492835,0.5743899379410098,36
Chamau Daily,lags_only,3d,all,0.2902174973492835,0.5743899379410098,36
Chamau Daily,lags_only,5d,none,0.27760916617486797,0.556411519425204,36
Chamau Daily,lags_only,5d,HL3,0.27760916617486786,0.556411519425204,36
Chamau Daily,lags_only,5d,HL7,0.27760916617486786,0.5564115194252041,36
Chamau Daily,lags_only,5d,HL14,0.27760916617486797,0.556411519425204,36
Chamau Daily,lags_only,5d,all,0.27760916617486797,0.556411519425204,36
Chamau Daily,lags_only,7d,none,0.2915378493889683,0.5693793557373604,36
Chamau Daily,lags_only,7d,HL3,0.2915378493889683,0.5693793557373604,36
Chamau Daily,lags_only,7d,HL7,0.29153784938896843,0.5693793557373603,36
Chamau Daily,lags_only,7d,HL14,0.29153784938896843,0.5693793557373604,36
Chamau Daily,lags_only,7d,all,0.2915378493889683,0.5693793557373604,36
Chamau Daily,lags_only,1_3_5,none,0.295012885937605,0.5642099475466271,58
Chamau Daily,lags_only,1_3_5,HL3,0.295012885937605,0.5642099475466271,58
Chamau Daily,lags_only,1_3_5,HL7,0.295012885937605,0.5642099475466271,58
Chamau Daily,lags_only,1_3_5,HL14,0.295012885937605,0.5642099475466271,58
Chamau Daily,lags_only,1_3_5,all,0.295012885937605,0.5642099475466271,58
Chamau Daily,lags_only,1_3_5_7,none,0.3099135206377177,0.5773831232705833,69
Chamau Daily,lags_only,1_3_5_7,HL3,0.3099135206377176,0.5773831232705833,69
Chamau Daily,lags_only,1_3_5_7,HL7,0.3099135206377177,0.5773831232705833,69
Chamau Daily,lags_only,1_3_5_7,HL14,0.3099135206377176,0.5773831232705833,69
Chamau Daily,lags_only,1_3_5_7,all,0.3099135206377176,0.5773831232705832,69
Chamau Daily,lags_only,3_5_7,none,0.3168208270834324,0.5867374221357704,58
Chamau Daily,lags_only,3_5_7,HL3,0.3168208270834324,0.5867374221357704,58
Chamau Daily,lags_only,3_5_7,HL7,0.3168208270834324,0.5867374221357704,58
Chamau Daily,lags_only,3_5_7,HL14,0.3168208270834324,0.5867374221357704,58
Chamau Daily,lags_only,3_5_7,all,0.3168208270834324,0.5867374221357704,58
Chamau Daily,roll_mean_only,1d,none,0.35195325120708565,0.6163874185536267,91
Chamau Daily,roll_mean_only,1d,HL3,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,1d,HL7,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,1d,HL14,0.35195325120708587,0.6163874185536267,91
Chamau Daily,roll_mean_only,1d,all,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,3d,none,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,3d,HL3,0.35195325120708587,0.6163874185536264,91
Chamau Daily,roll_mean_only,3d,HL7,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,3d,HL14,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,3d,all,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,5d,none,0.35195325120708565,0.6163874185536267,91
Chamau Daily,roll_mean_only,5d,HL3,0.35195325120708587,0.6163874185536266,91
Chamau Daily,roll_mean_only,5d,HL7,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,5d,HL14,0.35195325120708587,0.6163874185536267,91
Chamau Daily,roll_mean_only,5d,all,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,7d,none,0.35195325120708587,0.6163874185536267,91
Chamau Daily,roll_mean_only,7d,HL3,0.35195325120708576,0.6163874185536266,91
Chamau Daily,roll_mean_only,7d,HL7,0.35195325120708576,0.6163874185536264,91
Chamau Daily,roll_mean_only,7d,HL14,0.35195325120708576,0.6163874185536264,91
Chamau Daily,roll_mean_only,7d,all,0.35195325120708565,0.6163874185536266,91
Chamau Daily,roll_mean_only,1_3_5,none,0.35195325120708587,0.6163874185536267,91
Chamau Daily,roll_mean_only,1_3_5,HL3,0.35195325120708565,0.6163874185536267,91
Chamau Daily,roll_mean_only,1_3_5,HL7,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,1_3_5,HL14,0.35195325120708576,0.6163874185536267,91
Chamau Daily,roll_mean_only,1_3_5,all,0.35195325120708576,0.6163874185536267,91
